"B cell"	"CD4 T cell"	"CD8 T cell"	"Hematopoietic stem cell"	"Megakaryocyte"	"Monocyte_CD14"	"Monocyte_FCGR3A"	"NK cell"	"Plasmacytoid dendritic cell"
"B cell"	0.998293515358362	0.000916170407695831	0.00281425891181989	0.142857142857143	NA	0.00367647058823529	NA	NA	NA
"CD4 T cell"	NA	0.962895098488319	0.025328330206379	NA	NA	0.00229779411764706	NA	NA	NA
"CD8 T cell"	NA	0.0361887311039853	0.971857410881801	NA	NA	0.000459558823529412	NA	0.0206896551724138	NA
"Hematopoietic stem cell"	NA	NA	NA	0.857142857142857	NA	NA	NA	NA	NA
"Megakaryocyte"	NA	NA	NA	NA	0.649122807017544	NA	NA	NA	NA
"Monocyte_CD14"	0.00170648464163823	NA	NA	NA	0.350877192982456	0.986672794117647	0.0901408450704225	NA	NA
"Monocyte_FCGR3A"	NA	NA	NA	NA	NA	0.00643382352941176	0.909859154929577	NA	NA
"NK cell"	NA	NA	NA	NA	NA	0.000459558823529412	NA	0.979310344827586	NA
"Plasmacytoid dendritic cell"	NA	NA	NA	NA	NA	NA	NA	NA	1
