"acinar"	"alpha"	"beta"	"delta"	"ductal"	"endothelial"	"epsilon"	"gamma"
"acinar"	0.164383561643836	NA	NA	NA	0.00408163265306122	NA	NA	0.0198019801980198
"alpha"	NA	0.969211822660099	0.00446428571428571	NA	NA	NA	0.333333333333333	NA
"beta"	NA	0.0160098522167488	0.948660714285714	0.0362694300518135	0.0244897959183673	NA	NA	NA
"delta"	NA	0.00369458128078818	0.00892857142857143	0.963730569948187	NA	NA	NA	NA
"ductal"	0.831050228310502	0.00985221674876847	0.0178571428571429	NA	0.893877551020408	NA	NA	NA
"endothelial"	0.0045662100456621	NA	0.00669642857142857	NA	0.0775510204081633	1	NA	NA
"gamma"	NA	0.00123152709359606	0.0133928571428571	NA	NA	NA	0.666666666666667	0.98019801980198
