"acinar"	"alpha"	"beta"	"delta"	"ductal"	"endothelial"	"epsilon"	"gamma"
"acinar"	0.995433789954338	0.00123152709359606	0.0111607142857143	NA	0.102040816326531	NA	NA	0.0198019801980198
"alpha"	NA	0.972906403940887	0.00446428571428571	NA	NA	NA	0.333333333333333	NA
"beta"	NA	0.0123152709359606	0.953125	0.0207253886010363	0.0163265306122449	NA	NA	0.0099009900990099
"delta"	NA	0.00246305418719212	0.00223214285714286	0.979274611398964	NA	NA	NA	NA
"ductal"	0.0045662100456621	0.00862068965517241	0.0111607142857143	NA	0.873469387755102	NA	NA	NA
"endothelial"	NA	NA	0.00223214285714286	NA	0.00816326530612245	1	NA	NA
"epsilon"	NA	NA	NA	NA	NA	NA	0.666666666666667	NA
"gamma"	NA	0.00246305418719212	0.015625	NA	NA	NA	NA	0.97029702970297
