"acinar"	"alpha"	"beta"	"delta"	"ductal"	"endothelial"	"epsilon"	"gamma"	"mast"
"acinar"	0.989189189189189	NA	NA	NA	0.00518134715025907	NA	NA	NA	NA
"alpha"	NA	0.994356659142212	NA	NA	NA	NA	0.142857142857143	0.0101522842639594	NA
"beta"	NA	0.00225733634311512	1	0.0087719298245614	NA	NA	NA	NA	NA
"delta"	NA	0.00112866817155756	NA	0.991228070175439	NA	NA	NA	0.0152284263959391	NA
"ductal"	0.0108108108108108	NA	NA	NA	0.994818652849741	NA	NA	NA	NA
"endothelial"	NA	NA	NA	NA	NA	1	NA	NA	NA
"epsilon"	NA	0.00225733634311512	NA	NA	NA	NA	0.857142857142857	NA	NA
"gamma"	NA	NA	NA	NA	NA	NA	NA	0.974619289340102	NA
"mast"	NA	NA	NA	NA	NA	NA	NA	NA	1
